Kategori,Sub Kategori,Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,topik,sentimen,sentimen_score
Pemerintahan,Kelurahan/Desa,KANTOR Desa Dooro,4.7,25,Titik Ernawati,5,2026-06-18T03:32:57.007Z,Balai desa depan masjid jamik persis. Bagus bersih dan rapi.,balai desa depan masjid jamik persis bagus bersih dan rapi,balai desa depan masjid jamik persis bagus bersih dan rapi,balai desa depan masjid jamik persis bagus bersih rapi,Fasilitas,Positif,0.9928
Pemerintahan,Kelurahan/Desa,KANTOR Desa Dooro,4.7,25,Ahmad Indra_JT,5,2026-01-15T19:19:04.178Z,Keren,keren,bagus,bagus,Lainnya,Positif,0.9961
Pemerintahan,Kelurahan/Desa,KANTOR Desa Dooro,4.7,25,Samudera Ghoz,4,2025-09-20T16:56:13.711Z,Tempatnya bagus dan asri,tempatnya bagus dan asri,tempatnya bagus dan asri,tempatnya bagus asri,Lainnya,Positif,0.9975
Pemerintahan,Kelurahan/Desa,KANTOR Desa Dooro,4.7,25,Pollo Choir,5,2023-04-19T13:39:19.154Z,Desa menuju maju dan berkembang,desa menuju maju dan berkembang,desa menuju maju dan berkembang,desa menuju maju berkembang,Lainnya,Positif,0.6914
Pemerintahan,Kelurahan/Desa,KANTOR Desa Dooro,4.7,25,Tulin Pratama,5,2022-11-24T01:27:16.339Z,Desa ku skrng... Bismillah,desa ku skrng bismillah,desa ku skrng bismillah,desa ku skrng bismillah,Lainnya,Netral,0.9928
Pemerintahan,Kelurahan/Desa,KANTOR Desa Dooro,4.7,25,Maratus Solikhah,5,2022-10-15T05:55:41.986Z,Desa yg asri mudah dijangkau banyak kuliner lokal,desa yg asri mudah dijangkau banyak kuliner lokal,desa yang asri mudah dijangkau banyak kuliner lokal,desa asri mudah dijangkau banyak kuliner lokal,Lainnya,Positif,0.9956
Pemerintahan,Kelurahan/Desa,KANTOR Desa Dooro,4.7,25,Anto Villa,5,2022-09-14T22:06:51.567Z,Suasana desa yg sejuk,suasana desa yg sejuk,suasana desa yang sejuk,suasana desa sejuk,Lainnya,Positif,0.9968
Pemerintahan,Kelurahan/Desa,KANTOR Desa Dooro,4.7,25,puji Haaa_,3,2022-07-21T05:13:42.989Z,Its okay,its okay,its okay,its okay,Lainnya,Negatif,0.8528
Pemerintahan,Kelurahan/Desa,KANTOR Desa Dooro,4.7,25,{Laurah• Offical},5,2022-07-20T13:08:22.969Z,Indah dan asri,indah dan asri,indah dan asri,indah asri,Lainnya,Positif,0.9961
Pemerintahan,Kelurahan/Desa,KANTOR Desa Dooro,4.7,25,Tut Wuri,4,2021-12-03T12:15:54.816Z,Bersih,bersih,bersih,bersih,Fasilitas,Positif,0.9951
Pemerintahan,Kelurahan/Desa,KANTOR Desa Dooro,4.7,25,Firman Salun,4,2020-11-29T03:21:12.358Z,Bagus,bagus,bagus,bagus,Lainnya,Positif,0.9961
Pemerintahan,Kelurahan/Desa,KANTOR Desa Dooro,4.7,25,Ciput Saputro,5,2018-08-19T15:57:40.759Z,Perjuangan kades,perjuangan kades,perjuangan kades,perjuangan kades,Lainnya,Positif,0.9517
